-4	465.55	7	3	108.06				4.1251	128.8968	7
-4	458.922	6	4	109.26				2.238	118.9415	6
-3.920818754	442.482	4	3	99.35				5.001	130.1636	3
-3.866461092	491.595	6	3	106.06				5.36342	146.9474	5
-3.723538196	459.484	3	3	86.46				5.7451	132.3266	3
-3.623423043	529.646	6	2	113.93				1.554	144.7854	4
-3.555955204	532.401	4	2	83.56				6.4354	143.5129	3
-3.53165267	493.564	7	2	111.23				2.6327	135.9005	5
-3.48148606	424.388	7	3	124.59				2.6431	107.4138	5
-3.468521083	403.438	6	2	91.73				4.12412	111.5721	5
-3.314258261	407.514	5	2	94.19				3.96332	116.3421	4
-3.168130226	456.546	5	2	81.69				4.28092	133.951	5
-3.129596095	454.574	4	2	72.46				5.43462	136.983	5
-3.123782159	470.597	4	3	76.9				2.77902	139.7527	5
-3.116338565	409.53	5	3	97.35				3.75512	117.3419	4
-3.040958608	463.538	6	2	102				3.0078	129.7205	4
-2.958607315	430.464	6	3	111.45				3.21942	119.9268	5
-2.920818754	444.491	6	3	111.45				3.52784	124.6638	5
-2.906578315	456.57	4	3	89.07				2.82772	134.7914	5
-2.896196279	415.925	7	2	99.08				3.90984	116.2642	6
-2.863279433	470.529	5	2	98.76				3.80752	134.091	5
-2.860120914	479.537	7	2	111.23				2.2426	131.2835	5
-2.8569852	449.619	3	3	73.66				3.9159	133.3057	5
-2.821023053	498.497	7	2	126.57				3.6115	130.9076	5
-2.769551079	400.41	6	3	111.45				2.65	104.7768	6
-2.747146969	436.493	7	3	111.45				3.28092	117.8038	5
-2.696803943	465.554	6	2	102				3.2538	131.8345	7
-2.677780705	388.807	6	3	104.82				3.8315	100.2738	5
-2.625251654	414.509	4	2	72.46				4.51032	125.246	5
-2.614393726	449.511	6	2	102				2.6177	125.1035	4
-2.602059991	424.457	7	3	120.68				2.19822	113.6218	5
-2.522878745	382.42	6	3	111.45				2.5109	104.8188	6
-2.522878745	403.438	6	2	91.73				4.12412	111.5721	5
-2.494850022	430.464	6	3	111.45				3.21942	119.9268	5
-2.494850022	382.42	6	3	111.45				2.5109	104.8188	6
-2.468521083	444.491	6	3	111.45				3.52784	124.66	5
-2.37675071	386.383	6	3	111.45				2.2599	100.1598	5
-2.343901798	410.501	4	2	88.72				2.7282	120.9593	4
-2.342944147	396.45	5	2	92.34				3.5273	115.3287	3
-2.337242168	420.425	7	3	124.59				2.81242	112.1928	5
-2.327902142	382.42	6	3	111.45				2.42922	104.9388	5
-2.298432015	385.467	3	2	69.22				4.75274	115.656	4
-2.26760624	415.449	5	2	87.68				4.17302	117.042	4
-2.248720896	387.823	5	4	107.47				3.5666	102.3585	5
-2.193820026	422.438	7	3	128.52				1.8084	103.0151	6
-2.113509275	385.467	3	2	69.22				4.75274	115.656	4
-2.039529222	371.44	3	2	69.22				4.44432	110.919	4
-2.017728767	438.893	7	3	128.52				2.3211	108.0451	5
-2	407.514	5	2	78.59				4.91122	118.1691	8
-1.920818754	386.383	6	3	111.45				2.2599	100.1598	5
-1.879426069	465.51	7	2	111.23				1.8541	126.6885	4
-1.853871964	366.146	5	3	91.14				2.5404	80.6083	2
-1.853871964	422.438	7	3	128.52				1.8068	102.9931	5
-1.793174124	401.466	4	2	78.45				4.45292	117.471	5
-1.759450752	419.912	3	2	69.22				5.09332	118.993	5
-1.591760035	322.199	5	1	69.62				3.38044	84.7734	2
-1.49757288	389.43	3	2	69.22				4.58342	110.877	4
-1.480172006	433.871	8	1	97.31				3.231	111.6744	8
-1.4710833	286.718	4	2	58.28				3.6039	77.3396	2
-1.318758763	422.438	7	3	128.52				1.8068	102.9931	5
-1.197910742	312.344	3	3	69.14				4.16482	86.8623	3
-1.148741651	297.314	5	3	91.14				2.2012	82.33	3
-0.962573502	440.461	10	3	190.4				1.01578	113.4017	8
-0.958607315	283.287	5	3	91.14				1.94722	77.6873	2
-0.954677021	303.318	5	3	74.07				3.14719	77.4723	2
-0.920818754	303.705	5	3	91.14				2.2922	77.9603	2
-0.886056648	283.287	5	3	91.14				1.94722	77.6873	2
-0.759450752	391.858	5	2	71.17				4.7841	108.98	5
-0.698970004	298.346	4	1	65.36				3.666	80.5157	2
-0.677780705	287.25	5	3	91.14				1.7779	72.9083	2
-0.634512015	405.885	3	2	69.22				4.7849	114.256	5
-0.554395797	304.353	4	1	72.11				2.67642	88.7069	1
-0.367542708	400.506	4	3	91.28				2.34466	116.5502	6
-0.258060922	290.326	4	1	72.11				2.368	83.9699	1
-0.256490235	306.325	5	2	92.34				2.0736	85.6347	1
-0.241845378	306.325	5	2	92.34				2.0736	85.6347	1
-0.083546051	296.374	4	2	66.73				3.94562	85.8385	2
