-0.854	 306.797    58.95      4.015     3.        2.       21.        2.     
-5.081	 527.669    80.65      5.98642   6.        2.       39.        5.     
-0.854	 272.352    72.94      2.96882   3.        2.       20.        2.     
-4.824	 513.642    80.65      5.678     6.        2.       38.        5.     
-3.420	 499.615    80.65      5.5039    6.        2.       37.        5.     
-3.398	 543.668   100.88      4.95882   7.        3.       40.        5.     
-2.481	 451.571    80.65      4.2258    6.        2.       33.        4.     
-4.638	 528.657    93.54      5.38142   7.        2.       39.        5.     
-4.420	 570.738    83.89      6.05242   7.        2.       42.        5.     
-4.585	 556.711    83.89      5.744     7.        2.       41.        5.     
-2.796	 348.45     58.95      5.12222   3.        2.       26.        3.     
-3.921	 398.51     58.95      6.27542   3.        2.       30.        4.     
-4.638	 525.697    71.42      6.54022   5.        2.       39.        5.     
-2.409	 477.609    80.65      4.83322   6.        2.       35.        4.     
-3.469	 428.536    68.18      6.28402   4.        2.       32.        4.     
-3.824	 541.696    80.65      6.29484   6.        2.       40.        5.     
-1.947	 451.53     99.81      5.039     6.        2.       34.        4.     
-1.044	 512.9     108.47      5.1896    7.        2.       36.        4.     
-3.312	 553.598   123.06      6.048     7.        3.       41.        5.     
-1.041	 632.664   111.25      5.7724    8.        2.       46.        6.     
-0.917	 633.7     119.14      4.7532    7.        3.       46.        6.     
-0.883	 493.615    86.28      4.59032   7.        2.       37.        5.     
-1.134	 373.46     78.94      4.0441    5.        3.       28.        4.     
-2.048	 529.526    97.62      6.35584   7.        2.       39.        5.     
-1.498	 503.488    97.62      5.74842   7.        2.       37.        5.     
-2.317	 532.57     65.77      4.45602   6.        1.       39.        5.     
-1.284	 560.68    106.16      5.8565    9.        2.       40.        6.     
-1.014	 454.87    107.74      5.63812   7.        2.       32.        4.     
-4.398	 539.709    89.14      6.8088    7.        2.       39.        5.     
-5.620	 700.29    129.6       7.7958   10.        4.       48.        6.     
-3.000	 362.477    58.95      5.43064   3.        2.       27.        3.     
-2.046	 322.412    58.95      4.5148    3.        2.       24.        3.     
-1.553	 306.797    58.95      4.015     3.        2.       21.        2.     
